Man Power Cost %,Free On Premise Engineers ,Free Field Engineers,Field Vs On Premise Engineers %,Field Engineers Per Person Cost,On Premise Engineers Per Person Cost,Freshers %,% cross training,Profit
60.40485,15.156126,2.3942286,86.543676,8815.81329,53187.01956,14.167683,0.485550947,9.769744013
60.40485,14.936472,0.5381523,87.202638,9085.98771,51508.863,11.641662,0.485550947,12.60942678
53.046441,11.0156481,1.2849759,86.76333,9123.32889,53079.3891,12.630105,0.485550947,24.95791674
62.162082,12.959586,1.2630105,86.982984,9123.32889,53079.3891,12.630105,0.485550947,6.515097781
65.786373,14.716818,4.5358551,87.971427,8966.27628,51841.63881,12.849759,0.485550947,10.12025163
40.745817,9.115641,0.1976886,84.347136,8558.81811,51075.04635,19.988514,0.499213636,39.37222351
44.150454,9.445122,0.3075156,84.896271,8503.90461,53783.38017,21.635919,0.499213636,35.72741093
56.01177,7.797717,1.3069413,85.884714,8496.21672,54357.77538,15.924915,0.499213636,18.77286025
38.000142,6.369966,0.1427751,83.358693,8087.66028,53275.97943,19.329552,0.499213636,45.17418527
53.046441,6.699447,1.757232,85.994541,8019.56754,51491.29068,20.647476,0.499213636,23.06367
47.994399,6.809274,1.0763046,86.324022,8117.31357,50782.90653,25.040556,0.499213636,30.86972086
46.676475,13.069413,4.8982842,85.994541,8447.89284,51506.66646,15.37578,0.485550947,32.17588285
