House Area,House Price
5134.636638,51346.14076
16154.54796,161538.4533
19909.61439,199082.9908
24300.0689,242976.7747
37598.14005,375892.8243
51455.46241,514327.5928
51696.33387,516733.1044
64815.46544,647700.9286
68068.02121,680154.7063
97395.43789,972415.308
98566.72249,984071.975
112164.5175,1119294.774
117147.1975,1168794.37
119681.2392,1193957.328
138529.7367,1380870.861
140995.9805,1405292.811
149447.4279,1488917.424
173782.1853,1729087.943
177319.3406,1763915.835
182186.5273,1811803.449
192649.8424,1914603.853
197062.5811,1957896.118
200521.6413,1991805.47
206169.7316,2047122.59
223777.9574,2219149.559
225998.2886,2240793.767
241013.3112,2386867.719
241790.1173,2394410.536
260368.0615,2574362.254
272478.2552,2691190.854
274960.0098,2715084.492
319367.7057,3139663.016
329773.2632,3238285.174
370751.5013,3623159.75
376435.0285,3676074.565
389140.5604,3793933.714
434846.551,4212712.381
435596.7993,4219515.457
436795.5362,4230380.392
442100.8802,4278392.986
449580.492,4345877.511
451826.8477,4366097.871
467825.8466,4509468.103
479462.6833,4613025.117
480576.4824,4622904.357
485377.217,4665420.407
516264.1114,4936346.022
517464.9105,4946785.442
519035.0859,4960425.357
519792.1963,4966997.911
531271.4249,5066299.267
536017.1279,5107157.787
543720.5437,5173235.685
546064.8105,5193283.449
553034.5738,5252718.669
564039.1168,5346040.179
564074.2515,5346337.1
566836.4324,5369659.421
576032.0315,5447005.738
602103.5,5663773.164
620536.4696,5814716.98
629678.7213,5888851.255
657963.9251,6115070.988
659784.8201,6129468.473
676056.3668,6257216.808
683532.0078,6315354.891
703661.9556,6470141.796
705056.2883,6480766.984
730938.3922,6675686.071
733974.3273,6698259.275
737633.1383,6725381.716
755590.2245,6857183.929
759658.622,6886739.619
774547.0443,6993924.025
793489.7078,7128051.566
793615.2852,7128932.262
809270.6871,7237841.217
830047.7144,7379635.716
831871.6736,7391932.25
860958.8894,7584678.298
862686.6918,7595927.24
864804.9485,7609687.309
867756.8139,7628805.493
873709.6807,7667157.729
879635.295,7705064.554
882883.4445,7725728.623
890988.4406,7776935.042
897328.2096,7816633.042
901145.7545,7840386.077
921760.4001,7966668.726
930528.4068,8019357.285
940893.4954,8080847.509
969829.4513,8247892.902
971179.8916,8255521.312
985884.2132,8337606.135
995523.7644,8390440.423
1005275.535,8443096.456
1028687.9,8566227.578
1040655.979,8627361.115
1051686.091,8682609.421
1059523.831,8721225.978
1070075.217,8772366.151
1071318.117,8778326.021
1077223.748,8806458.833
1082919.473,8833300.768
1085925.694,8847352.539
1107240.725,8944683.342
1120239.194,9002046.292
1123079.936,9014380.449
1129421.211,9041650.918
1135017.112,9065413.979
1142423.942,9096430.508
1145040.543,9107268.472
1151678.487,9134482.951
1152114.316,9136255.709
1153054.706,9140074.887
1155717.25,9150844.347
1158503.034,9162042.842
1161068.477,9172292.706
1181862.435,9253138.562
1182047.623,9253840.641
1183079.858,9257748.199
1184335.147,9262486.839
1208465.463,9350731.789
1213847.741,9369673.997
1222571.298,9399798.663
1228008.767,9418213.886
1228477.152,9419787.16
1243714.555,9469839.453
1248279.355,9484406.571
1248422.04,9484858.719
1276128.683,9568987.185
1287914.647,9602550.805
1289525.241,9607033.902
1291181.749,9611618.805
1293514.276,9618030.082
1294710.891,9621298.841
1295434.855,9623269.782
1313439.648,9670661.477
1313442.561,9670668.89
1318170.761,9682595.075
1325603.848,9700906.2
1328696.463,9708366.907
1336275.899,9726258.945
1375363.144,9809636.412
1379033.151,9816697.175
1391041.509,9838875.581
1412999.503,9875758.933
1421434.411,9888662.308
1428254.878,9898581.57
1456208.039,9934419.427
1459032.798,9937609.552
1462207.436,9941100.175
1473866.935,9953060.234
1476915.607,9955964.409
1479753.472,9958584.612
1487112.051,9965005.139
1521350.523,9987778.053
1541548.963,9995723.264
1560758.251,9999496.189
1567768.312,9999954.156
1568573.899,9999975.304
1568796.407,9999980.002
1582383.173,9999328.733
1583182.976,9999232.864
1595514.415,9996945.236
1595725.64,9996892.808
1603736.888,9994575.088
1625832.527,9984858.906
1654452.53,9965028.601
1675895.519,9944821.618
1678307.974,9942261.876
1682691.145,9937463.038
1690232.145,9928760.173
1693443.021,9924883.173
1696118.98,9921573.889
1698456.079,9918625.542
1714896.177,9896355.699
1721078.714,9887288.391
1730686.612,9872447.57
1737082.071,9862063.536
1755973.032,9829037.309
1775289.703,9791639.909
1776059.25,9790074.281
1780752.69,9780400.104
1791526.136,9757379.234
1815748.53,9701489.173
1825921.959,9676315.979
1859930.173,9584911.947
1863348.105,9575110.699
1876939.632,9535030.026
1882613.041,9517777.942
1893934.359,9482436.26
1937132.472,9336459.915
1995619.734,9111115.315
1997703.912,9102505.389
1997836.984,9101954.311
